name,easting,northing,longitude,latitude,elevation,X,Y,Z
HH166,540996.5,6601192.97,21.42819368328364,-30.721418472839485,1051.5,5109335.234299355,2005227.4375062676,-3239918.066501166
HH128,541025.7,6601167.68,21.428499668778002,-30.721645667305886,1051.61,5109312.633314202,2005250.0563662816,-3239939.779271907
HH110,541033.0,6601155.03,21.42857641792117,-30.721759561118112,1051.76,5109304.061539279,2005254.590455126,-3239950.7124416707
HH92,541025.7,6601142.39,21.428500677984566,-30.7218738680867,1051.89,5109300.788801779,2005245.5116121063,-3239961.674764543
HH111,541047.6,6601155.03,21.42872890660189,-30.72175905759183,1051.8,5109298.783238067,2005268.2114844057,-3239950.6848795475
HH112,541062.2,6601155.03,21.428881395278765,-30.72175855388644,1051.75,5109293.432889273,2005281.8042366076,-3239950.611322103
HH127,541011.1,6601167.68,21.428347180271153,-30.72164617056122,1051.61,5109317.943584678,2005236.4478841352,-3239939.827243034
HH130,541054.9,6601167.68,21.428804645780183,-30.721644660257862,1051.65,5109302.04470257,2005277.2858613648,-3239939.7037131395
HH129,541040.3,6601167.68,21.42865215728101,-30.721645163871433,1051.64,5109307.347024074,2005263.6742598286,-3239939.7466097376
HH109,541018.4,6601155.03,21.428423929236615,-30.721760064465286,1051.74,5109309.35581844,2005240.9756966461,-3239950.7502041077
HH93,541040.3,6601142.39,21.428653166846697,-30.721873364647706,1051.88,5109295.470502264,2005259.1169435289,-3239961.6216673087
HH94,541054.9,6601142.39,21.42880565570498,-30.7218728610296,1052.06,5109290.304220013,2005272.7819377675,-3239961.665618514
HH187,541003.8,6601205.61,21.428269423235452,-30.721304166041964,1051.27,5109338.426957871,2005236.484922184,-3239907.0530591966
HH176,540843.2,6601214.04,21.42659172041306,-30.721233622017778,1051.09,5109400.716782815,2005088.27854393,-3239900.236706082
HH158,540879.7,6601201.4,21.426973442734322,-30.72134642401846,1051.22,5109381.5140365455,2005120.0254614782,-3239911.0556288874
HH181,540916.2,6601214.04,21.427354159837797,-30.7212311142904,1051.14,5109374.2067098785,2005156.33715927,-3239900.023207466
HH184,540960.0,6601214.04,21.42781162344671,-30.72122960750466,1051.16,5109358.292343485,2005197.169060027,-3239899.8897947995
HH178,540872.4,6601214.04,21.42689669619443,-30.721232619464157,1051.12,5109390.120836163,2005115.5051624957,-3239900.156466472
HH182,540930.8,6601214.04,21.42750664771126,-30.721230612207606,1051.15,5109368.904615237,2005169.9488503751,-3239899.9804565236
HH186,540989.2,6601214.04,21.428116599166824,-30.721228602085286,1051.17,5109347.67996503,2005224.3892269742,-3239899.799064784
HH177,540857.8,6601214.04,21.42674420830566,-30.721233120830526,1051.12,5109395.430826551,2005101.8965691994,-3239900.204257737
