name,easting,northing,longitude,latitude,elevation,X,Y,Z
HH114,541091.4,6601155.03,21.429186372620993,-30.72175754593831,1051.76,5109282.820137233,2005309.0242567516,-3239950.5203516306
HH79,541076.8,6601129.75,21.429034894021488,-30.721986160529237,1051.96,5109276.226727917,2005290.8477607109,-3239972.414395484
HH210,541054.9,6601218.25,21.428802626364487,-30.721188348923814,1051.18,5109325.800731253,2005286.4017075603,-3239895.967158904
HH35,541069.5,6601091.81,21.42896016516184,-30.722328758742577,1052.32,5109261.064529736,2005277.2065682646,-3240005.2551682335
HH153,541106.0,6601180.32,21.429337850110407,-30.72152884093573,1051.54,5109289.402205694,2005327.196260005,-3239928.607422728
HH113,541076.8,6601155.03,21.429033883951803,-30.721758050001927,1051.75,5109288.122525436,2005295.4126816439,-3239950.563291057
HH208,541025.7,6601218.25,21.428497650798462,-30.721189355953666,1051.13,5109336.381340283,2005259.1690740052,-3239896.037608045
HH195,541120.6,6601205.61,21.429489326889293,-30.721300135755072,1051.28,5109295.952156489,2005345.3556568038,-3239906.6739929137
HH190,541047.6,6601205.61,21.42872688713445,-30.72130265602771,1051.29,5109322.512111209,2005277.3166315346,-3239906.9193389085
HH277,541040.3,6601268.83,21.428648119532667,-30.72073245091932,1050.71,5109354.871528664,2005281.9108014544,-3239852.269807922
HH111,541047.6,6601155.03,21.42872890660189,-30.72175905759183,1051.8,5109298.783238067,2005268.2114844057,-3239950.6848795475
HH262,541047.6,6601256.19,21.428724867713107,-30.720846254431336,1050.83,5109346.280668942,2005286.4373566597,-3239863.1791420877
HH62,541054.9,6601117.1,21.428806665641304,-30.72210106179327,1052.09,5109278.259567904,2005268.1586356864,-3239983.4333428754
HH148,541033.0,6601180.32,21.4285754085408,-30.721531360335543,1051.5,5109315.922015491,2005259.1414746374,-3239928.8271417054
HH230,541076.8,6601230.9,21.429030852613273,-30.72107344767091,1051.07,5109323.783732386,2005309.0970479771,-3239884.9583309637
HH188,541018.4,6601205.61,21.42842191120562,-30.721303662882985,1051.26,5109333.1086983625,2005250.0902681728,-3239906.999988464
HH212,541084.1,6601218.25,21.42910760191515,-30.72118734117752,1051.18,5109315.18000363,2005313.6185948588,-3239895.8710984257
HH152,541091.4,6601180.32,21.429185361804173,-30.721529345173913,1051.53,5109294.70462055,2005313.5846961048,-3239928.6503789388
HH175,541127.9,6601192.97,21.429566076509555,-30.721413938746284,1051.39,5109287.35311889,2005349.8790048242,-3239917.578107866
HH134,541113.3,6601167.68,21.429414599738436,-30.721642644012473,1051.62,5109280.779133638,2005331.7101753063,-3239939.496195275
HH213,541098.7,6601218.25,21.42926008968471,-30.721186837035717,1051.21,5109309.893606849,2005327.2364448577,-3239895.838368402
HH279,541069.5,6601268.83,21.42895309365461,-30.720731443549425,1050.74,5109344.274861632,2005309.1371301843,-3239852.189108503
HH173,541098.7,6601192.97,21.42926110026403,-30.72141494757633,1051.39,5109297.974006504,2005322.6621806847,-3239917.6742714304
HH261,541033.0,6601256.19,21.428572380468818,-30.72084675793944,1050.81,5109351.574974581,2005272.8226110355,-3239863.21692058
HH80,541091.4,6601129.75,21.429187383049655,-30.721985656461058,1051.98,5109270.932341982,2005304.4624770915,-3239972.376564497
HH170,541054.9,6601192.97,21.428803635866906,-30.721416459478068,1051.41,5109313.921142623,2005281.8431456925,-3239917.8286060123
HH76,541033.0,6601129.75,21.42857742691393,-30.721987671659047,1051.97,5109292.165741728,2005250.0255326366,-3239972.5635471
HH147,541018.4,6601180.32,21.42842292021536,-30.72153186367817,1051.5,5109321.232299301,2005245.532998109,-3239928.875121209
HH154,541120.6,6601180.32,21.429490338412794,-30.721528336518432,1051.5,5109284.059752641,2005340.7921091472,-3239928.538906145
HH112,541062.2,6601155.03,21.428881395278765,-30.72175855388644,1051.75,5109293.432889273,2005281.8042366076,-3239950.611322103
HH172,541084.1,6601192.97,21.429108612135497,-30.721415451722688,1051.42,5109303.308417309,2005309.0631748792,-3239917.7376535307
HH174,541113.3,6601192.97,21.429413588388716,-30.72141444325087,1051.4,5109292.671578347,2005336.2737389174,-3239917.631306828
HH226,541018.4,6601230.9,21.4284209022074,-30.721075462079742,1051.03,5109344.993018028,2005254.650647524,-3239885.129914467
HH93,541040.3,6601142.39,21.428653166846697,-30.721873364647706,1051.88,5109295.470502264,2005259.1169435289,-3239961.6216673087
HH211,541069.5,6601218.25,21.42895511414174,-30.721187845140218,1051.15,5109320.466373696,2005300.0007342885,-3239895.9038113756
HH214,541113.3,6601218.25,21.42941257745043,-30.7211863327148,1051.21,5109304.583176346,2005340.844861824,-3239895.79029548
HH78,541062.2,6601129.75,21.428882404989476,-30.72198666441828,1051.97,5109281.545094048,2005277.2424558788,-3239972.467535581
HH166,540996.5,6601192.97,21.42819368328364,-30.721418472839485,1051.5,5109335.234299355,2005227.4375062676,-3239918.066501166
HH146,541003.8,6601180.32,21.42827043188608,-30.72153236684169,1051.68,5109326.686599081,2005231.9810425795,-3239929.015039523
HH187,541003.8,6601205.61,21.428269423235452,-30.721304166041964,1051.27,5109338.426957871,2005236.484922184,-3239907.0530591966
HH189,541033.0,6601205.61,21.428574399171957,-30.721303159544902,1051.26,5109327.798414576,2005263.6987441215,-3239906.9520092835
HH168,541025.7,6601192.97,21.428498659582953,-30.721417466516996,1051.37,5109324.509754137,2005254.6136517415,-3239917.9041642696
HH232,541106.0,6601230.9,21.42933582779316,-30.72107243939184,1051.07,5109313.162924767,2005336.3139026423,-3239884.8622195893
HH61,541040.3,6601117.1,21.4286541764239,-30.722101565415922,1052.1,5109283.577894055,2005254.5533144602,-3239983.4864575416
HH265,541091.4,6601256.19,21.429182329422922,-30.720844742832362,1050.88,5109330.389589455,2005327.2783890574,-3239863.06059561
HH128,541025.7,6601167.68,21.428499668778002,-30.721645667305886,1051.61,5109312.633314202,2005250.0563662816,-3239939.779271907
HH209,541040.3,6601218.25,21.428650138583393,-30.721188852528293,1051.15,5109331.0870479345,2005272.7838257216,-3239895.999837707
HH245,541040.3,6601243.54,21.428649129052275,-30.720960651727836,1050.93,5109342.979329159,2005277.3473292734,-3239874.1348478054
HH127,541011.1,6601167.68,21.428347180271153,-30.72164617056122,1051.61,5109317.943584678,2005236.4478841352,-3239939.827243034
HH228,541047.6,6601230.9,21.428725877418017,-30.721074455233545,1051.06,5109334.396430956,2005281.87700979,-3239885.0492654536
HH151,541076.8,6601180.32,21.429032873494094,-30.721529849232986,1051.51,5109299.999006395,2005299.9699807924,-3239928.688209415
HH95,541069.5,6601142.39,21.428958144559424,-30.721872357232364,1051.94,5109284.897841705,2005286.3527000297,-3239961.5562913055
HH246,541054.9,6601243.54,21.428801616474264,-30.720960148127904,1050.96,5109337.693012537,2005290.9652105959,-3239874.102169223
HH48,541062.2,6601104.46,21.428883415111123,-30.722214865175655,1052.21,5109269.668449585,2005272.685093379,-3239994.3425178067
HH171,541069.5,6601192.97,21.428956124003125,-30.721415955689935,1051.4,5109308.602789792,2005295.4484545006,-3239917.7754753446
HH207,541011.1,6601218.25,21.42834516300969,-30.72118985919993,1051.14,5109341.69961311,2005245.5637336902,-3239896.0906871357
HH319,541062.2,6601306.76,21.428875335259495,-30.720389439358215,1050.44,5109364.789807674,2005309.1865622748,-3239819.4350943295
HH280,541084.1,6601268.83,21.429105580709816,-30.72073093959583,1050.75,5109338.972486884,2005322.748708201,-3239852.1461789147
HH92,541025.7,6601142.39,21.428500677984566,-30.7218738680867,1051.89,5109300.788801779,2005245.5116121063,-3239961.674764543
HH293,541062.2,6601281.47,21.428876345300456,-30.720617640172,1050.62,5109352.865720969,2005304.6105748476,-3239841.2797748027
HH191,541062.2,6601205.61,21.428879375093103,-30.721302152331393,1051.28,5109317.193771711,2005290.9219454094,-3239906.8662169552
HH227,541033.0,6601230.9,21.428573389814627,-30.721074958746193,1051.04,5109339.690736644,2005268.2622636207,-3239885.0870442004
HH109,541018.4,6601155.03,21.428423929236615,-30.721760064465286,1051.74,5109309.35581844,2005240.9756966461,-3239950.7502041077
HH77,541047.6,6601129.75,21.428729915953625,-30.721987168128226,1051.99,5109286.871435833,2005263.6402810053,-3239972.525767335
HH248,541084.1,6601243.54,21.429106591306716,-30.7209591403907,1050.97,5109327.0802872935,2005318.1852376035,-3239874.0112179643
HH307,541069.5,6601294.12,21.42895208342834,-30.720503242741938,1050.54,5109356.182984311,2005313.7068514992,-3239830.334236194
HH63,541069.5,6601117.1,21.42895915485487,-30.7221005579915,1052.08,5109272.9412151035,2005281.7639461728,-3239983.380211137
HH294,541076.8,6601281.47,21.42902883217811,-30.72061713631022,1050.64,5109347.571361981,2005318.2252987018,-3239841.241962416
HH64,541084.1,6601117.1,21.429111644064587,-30.72210005401062,1052.08,5109267.6308379285,2005295.372386666,-3239983.3321710685
HH167,541011.1,6601192.97,21.428346171435216,-30.7214179697678,1051.36,5109329.812022219,2005241.0020295111,-3239917.9470264316
HH47,541047.6,6601104.46,21.428730925716145,-30.72221536889013,1052.18,5109274.954779918,2005259.0672144513,-3239994.375206137
HH244,541025.7,6601243.54,21.42849664162644,-30.72096115514866,1050.92,5109348.281623871,2005263.7357187802,-3239874.177726462
HH278,541054.9,6601268.83,21.428800606595562,-30.72073194732393,1050.81,5109349.641228946,2005295.5506675115,-3239852.2728893408
HH193,541091.4,6601205.61,21.429184350998888,-30.72130114440145,1051.31,5109306.597024446,2005318.1482448587,-3239906.7854649574
HH94,541054.9,6601142.39,21.42880565570498,-30.7218728610296,1052.06,5109290.304220013,2005272.7819377675,-3239961.665618514
HH132,541084.1,6601167.68,21.429109622766997,-30.721643652493388,1051.65,5109291.423974884,2005304.502750942,-3239939.6076513687
HH97,541098.7,6601142.39,21.42926312225678,-30.72187134910058,1051.86,5109274.21304227,2005313.544443364,-3239961.419325053
HH96,541084.1,6601142.39,21.429110633410023,-30.72187185325604,1051.89,5109279.547452993,2005299.945436375,-3239961.4827080052
HH292,541047.6,6601281.47,21.428723858418962,-30.72061814385468,1050.64,5109358.192062937,2005291.0084033515,-3239841.3380042072
HH133,541098.7,6601167.68,21.429262111254637,-30.721643148342483,1051.68,5109286.137577956,2005318.1206020364,-3239939.574920904
HH130,541054.9,6601167.68,21.428804645780183,-30.721644660257862,1051.65,5109302.04470257,2005277.2858613648,-3239939.7037131395
HH129,541040.3,6601167.68,21.42865215728101,-30.721645163871433,1051.64,5109307.347024074,2005263.6742598286,-3239939.7466097376
HH194,541106.0,6601205.61,21.429336838946014,-30.721300640167815,1051.3,5109301.2786049545,2005331.7535266161,-3239906.7322917846
HH49,541076.8,6601104.46,21.429035904502253,-30.72221436128205,1052.19,5109264.3420811845,2005286.2872580646,-3239994.2842685888
HH231,541091.4,6601230.9,21.42918334020514,-30.721072943620932,1051.08,5109318.481344267,2005322.7086214507,-3239884.915392404
HH115,541106.0,6601155.03,21.429338861286343,-30.721757041695568,1051.81,5109277.5497315135,2005322.6483843713,-3239950.497829906
HH264,541076.8,6601256.19,21.42902984219016,-30.720845246877797,1050.88,5109335.6999799535,2005313.6699568497,-3239863.1086424384
HH169,541040.3,6601192.97,21.42865114772685,-30.721416963087094,1051.4,5109319.2234640885,2005268.2315447305,-3239917.871502322
HH131,541069.5,6601167.68,21.42895713427551,-30.721644156465185,1051.64,5109296.7263497375,2005290.8911707602,-3239939.6505821142
HH34,541054.9,6601091.81,21.428807675589155,-30.722329262548886,1052.33,5109266.382882538,2005263.6012571915,-3240005.3083003303
HH192,541076.8,6601205.61,21.429031863047918,-30.721301648455988,1051.27,5109311.875405557,2005304.5272485418,-3239906.8130779304
HH247,541069.5,6601243.54,21.42895410389241,-30.720959644348856,1050.96,5109332.382662064,2005304.5736590563,-3239874.0541478433
HH110,541033.0,6601155.03,21.42857641792117,-30.721759561118112,1051.76,5109304.061539279,2005254.590455126,-3239950.7124416707
HH306,541054.9,6601294.12,21.428799596728386,-30.7205037465119,1050.53,5109361.485332372,2005300.095263315,-3239830.3771484233
HH22,541062.2,6601079.17,21.428884425244295,-30.722443065924967,1052.45,5109257.791723327,2005268.1276994809,-3240016.2174501866
HH149,541047.6,6601180.32,21.42872789686241,-30.72153085681381,1051.56,5109310.659719081,2005272.768784751,-3239928.80979709
HH263,541062.2,6601256.19,21.428877354953553,-30.72084575074411,1050.87,5109341.002341392,2005300.0583731863,-3239863.151563635
HH229,541062.2,6601230.9,21.428878365017567,-30.72107395154179,1051.03,5109329.062086701,2005295.4760415982,-3239884.985926676
HH150,541062.2,6601180.32,21.42888038518017,-30.72153035311295,1051.53,5109305.325374884,2005286.367817807,-3239928.7464574594
HH249,541098.7,6601243.54,21.429259078717177,-30.720958636253446,1050.95,5109321.753878752,2005331.7873830749,-3239873.9529452906
HH206,540996.5,6601226.68,21.428192339064534,-30.721114295329954,1051.07,5109350.976627169,2005233.4774607408,-3239888.8520186865
HH287,540974.6,6601289.9,21.427961087990507,-30.72054459263535,1050.49,5109388.646031139,2005224.463045541,-3239834.250278054
HH202,540938.1,6601226.68,21.427582388334564,-30.721116305801424,1051.01,5109372.16932096,2005179.0245442283,-3239889.0130095715
HH271,540952.7,6601277.26,21.427732861288963,-30.72065940178341,1050.56,5109390.635607379,2005201.7568989953,-3239845.2299495153
HH155,540835.9,6601201.4,21.42651597852382,-30.72134792785568,1051.22,5109397.443967693,2005079.199664801,-3239911.198977555
HH243,541011.1,6601251.97,21.428343817928358,-30.720885591452078,1050.85,5109357.558637355,2005251.6494464392,-3239866.939058198
HH239,540952.7,6601251.97,21.427733868650133,-30.720887602621847,1050.8,5109378.759440188,2005197.1997152914,-3239867.1052248585
HH288,540989.2,6601289.9,21.42811357477149,-30.72054408984972,1050.49,5109383.335827396,2005238.0715517125,-3239834.202351169
HH220,540930.8,6601239.33,21.427505640871505,-30.72100241137446,1050.89,5109380.764900148,2005174.499800913,-3239878.0950383255
HH273,540981.9,6601277.26,21.42803783521755,-30.720658396565824,1050.59,5109380.039260655,2005228.983355038,-3239845.1494551576
HH165,540981.9,6601201.4,21.42804085909155,-30.721342908796103,1051.27,5109344.383275824,2005215.3009824567,-3239910.7460942543
